"unique_trial","filename","tmin","tmax","label","label_error","RepNo","normtime","acttimenorm","Intensity","speaker","trial","condition","typicality","target_name","target_colour","competitor_name","competitor_colour","distractor1_name","distractor1_colour","distractor2_name","distractor2_colour","object_en","colour_en","typ_mean","typ_sd","typ_median","max_intensity"
"HW_52","HW",1331.59625691167,1336.30265727711,"NF","",52,0.756771354270854,1335.03073351361,80.1215375389537,"HW",52,"NF","typical","Mandarine","orange","Bueroklammer","orange","Sonnenbrille","gruen","Sonnenbrille","rot","mandarine","orange",98.7029702970297,4.73190142428061,100,80.1215375389537
"HW_56","HW",1412.08628444191,1416.81762019728,"NF","",56,0.19127825565113,1412.56613785819,79.3084272940831,"HW",56,"NF","atypical","Trauben","orange","Waescheklammer","orange","Sonnenbrille","gelb","Avokado","rot","grapes","orange",5.87128712871287,14.3740483972586,0,79.3084272940831
"HW_58","HW",1453.75713078205,1458.3004918466,"NF","",58,0.718243648729746,1456.8781353621,77.302603633045,"HW",58,"NF","typical","Walnuss","braun","Sonnenbrille","braun","Waescheklammer","gelb","Socken","gelb","walnut","brown",97.4554455445545,11.250355329922,100,77.302603633045
"HW_6","HW",389.470986999954,393.815504114907,"NF","",6,0.192718543708742,389.91856177775,74.8610780066778,"HW",6,"NF","typical","Bohnen","gruen","Socken","gruen","Sonnenbrille","orange","Bueroklammer","gelb","beans","green",96.8118811881188,7.0650022948151,100,74.8610780066778
"HW_60","HW",1494.9636285416,1499.84841302418,"NF","",60,0.373114622924585,1496.44596862163,76.1402596840872,"HW",60,"NF","medium","Kartoffeln","orange","Socken","orange","Bueroklammer","gelb","Birne","gruen","potatoes","orange",38.8514851485149,33.053709667332,31,76.1402596840872
"HW_64","HW",1577.29536003397,1582.18653821351,"NF","",64,0.39129825965193,1578.87846191325,74.0866152459136,"HW",64,"NF","atypical","Paprika","braun","Waescheklammer","braun","Socken","gelb","Aubergine","gelb","pepper","brown",7.77227722772277,16.4407306334717,0,74.0866152459136
"HW_67","HW",1636.0959704142,1640.41651113946,"NF","",67,0.409661932386477,1637.58253373635,76.0981174800201,"HW",67,"NF","medium","Erbsen","gelb","Socken","gelb","Birne","rot","Waescheklammer","orange","peas","yellow",34.5742574257426,33.0633774846592,27,76.0981174800201
"HW_68","HW",1655.35977164421,1659.49905106047,"NF","",68,0.684036807361472,1658.04587334982,77.6133040726535,"HW",68,"NF","atypical","Moehre","gruen","Bueroklammer","gruen","Waescheklammer","orange","Waescheklammer","gelb","carrots","green",3.99009900990099,13.9165333682674,0,77.6133040726535
"HW_7","HW",409.39973283408,413.881714434642,"NF","",7,0.17993598719744,409.797812416126,73.9107880020956,"HW",7,"NF","atypical","Kirsche","gelb","Sonnenbrille","gelb","Socken","braun","Birne","orange","cherry","yellow",1.38613861386139,3.98489723086983,0,73.9107880020956
"HW_9","HW",449.886748047744,454.518981527925,"NF","",9,0.213422684536907,450.470526221881,74.5275828035445,"HW",9,"NF","typical","Erdbeere","rot","Waescheklammer","rot","Bueroklammer","braun","Avokado","gruen","strawberry","red",99.3564356435644,2.71508437591115,100,74.5275828035445
"IB_12","IB",448.606670613724,451.815901807912,"NF","",12,0.225485097019404,449.054126933458,76.830449545941,"IB",12,"NF","medium","Erbsen","gelb","Socken","gelb","Sonnenbrille","braun","Birne","orange","peas","yellow",34.5742574257426,33.0633774846592,27,76.830449545941
"IB_14","IB",479.092485353035,482.526112122151,"NF","",14,0.658111622324465,481.221759804777,75.9692374350535,"IB",14,"NF","atypical","Gurke","rot","Bueroklammer","rot","Socken","gelb","Waescheklammer","gelb","cucumber","red",0.831683168316832,3.4498385670367,0,75.9692374350535
"IB_18","IB",541.25618261396,544.884823252429,"NF","",18,0.416863372674535,542.533719626104,75.1534209821969,"IB",18,"NF","atypical","Trauben","orange","Bueroklammer","orange","Zucchini","gruen","Waescheklammer","gruen","grapes","orange",5.87128712871287,14.3740483972586,0,75.1534209821969
"IB_19","IB",557.280493581506,560.515937865961,"NF","structure",19,0.393098619723945,558.334164974803,75.109279715222,"IB",19,"NF","atypical","Paprika","braun","Sonnenbrille","braun","Waescheklammer","rot","Socken","gelb","pepper","brown",7.77227722772277,16.4407306334717,0,75.109279715222
"IB_2","IB",293.02382687626,296.177336691985,"NF","",2,0.181736347269454,293.310222846722,75.3932392683035,"IB",2,"NF","medium","Tomate","gruen","Sonnenbrille","gruen","Socken","orange","Waescheklammer","braun","tomato","green",25.990099009901,28.5105226362145,18,75.3932392683035
"IB_21","IB",588.838763730915,592.483823557793,"NF","",21,0.178855771154231,589.158134845972,76.4622974622455,"IB",21,"NF","typical","Erdbeere","rot","Waescheklammer","rot","Bueroklammer","orange","Aubergine","gruen","strawberry","red",99.3564356435644,2.71508437591115,100,76.4622974622455
"IB_23","IB",621.077476413284,624.256749790023,"NF","",23,0.392198439687938,622.109674991089,76.2023196717368,"IB",23,"NF","typical","Walnuss","braun","Bueroklammer","braun","Zucchini","gelb","Avokado","gelb","walnut","brown",97.4554455445545,11.250355329922,100,76.2023196717368
"IB_24","IB",636.340386380975,639.543568400485,"NF","",24,0.451070214042809,637.589877266761,75.1927902221577,"IB",24,"NF","atypical","Kirsche","gelb","Sonnenbrille","gelb","Aubergine","gruen","Socken","rot","cherry","yellow",1.38613861386139,3.98489723086983,0,75.1927902221577
"IB_27","IB",682.443304730424,685.683069853935,"NF","",27,0.42748549709942,683.622167054822,76.8474807553094,"IB",27,"NF","typical","Bohnen","gruen","Socken","gruen","Birne","orange","Sonnenbrille","braun","beans","green",96.8118811881188,7.0650022948151,100,76.8474807553094
"IB_29","IB",712.69259096628,716.850102305092,"NF","",29,0.245829165833167,713.366242533481,74.2691392415559,"IB",29,"NF","typical","Mandarine","orange","Socken","orange","Waescheklammer","braun","Zucchini","gruen","mandarine","orange",98.7029702970297,4.73190142428061,100,74.2691392415559
"IB_31","IB",744.643769413766,748.209861853671,"NF","hesitation break",31,0.619403880776155,746.701816360981,76.5146333457394,"IB",31,"NF","medium","Aprikose","rot","Socken","rot","Bueroklammer","gruen","Bueroklammer","orange","apricot","red",33.1485148514851,32.654061351879,25,76.5146333457394
"IB_34","IB",790.986822677159,794.110789313993,"NF","",34,0.176875375075015,791.253662795968,75.2694735400903,"IB",34,"NF","atypical","Moehre","gruen","Bueroklammer","gruen","Waescheklammer","gelb","Waescheklammer","rot","carrots","green",3.99009900990099,13.9165333682674,0,75.2694735400903
"IB_35","IB",806.181855181236,810.056783645846,"NF","",35,0.209641928385677,806.653915880365,75.5094503148839,"IB",35,"NF","medium","Kartoffeln","orange","Waescheklammer","orange","Socken","rot","Bueroklammer","gruen","potatoes","orange",38.8514851485149,33.053709667332,31,75.5094503148839
"IB_37","IB",837.350788863883,840.464097431048,"NF","",37,0.187677535507101,837.654085777708,75.4883312703216,"IB",37,"NF","medium","Tomate","gruen","Sonnenbrille","gruen","Socken","orange","Waescheklammer","braun","tomato","green",25.990099009901,28.5105226362145,18,75.4883312703216
"IB_42","IB",914.094820635302,917.413225029615,"NF","",42,0.366633326665333,915.077928638498,75.853291553535,"IB",42,"NF","typical","Zitrone","gelb","Waescheklammer","gelb","Birne","gruen","Socken","orange","lemon","yellow",99.6039603960396,2.37940836310538,100,75.853291553535
"IB_44","IB",945.81638392182,948.913561356513,"NF","",44,0.396879375875175,946.838037370472,73.4739088896391,"IB",44,"NF","medium","Banane","braun","Waescheklammer","braun","Avokado","gelb","Zucchini","gelb","banana","brown",27.6435643564356,28.3332257811975,22,73.4739088896391
"IB_47","IB",993.612771702381,996.841878756222,"NF","",47,0.434866973394679,994.814239820033,75.7127785417763,"IB",47,"NF","medium","Erbsen","gelb","Socken","gelb","Sonnenbrille","braun","Birne","orange","peas","yellow",34.5742574257426,33.0633774846592,27,75.7127785417763
"IB_49","IB",1024.66561884241,1027.79736298955,"NF","",49,0.418483696739348,1025.77385156821,75.9719802964208,"IB",49,"NF","atypical","Gurke","rot","Bueroklammer","rot","Socken","gelb","Waescheklammer","gelb","cucumber","red",0.831683168316832,3.4498385670367,0,75.9719802964208
"IB_53","IB",1088.02200599924,1091.4590894396,"NF","",53,0.437207441488298,1089.3097950138,74.9086322627806,"IB",53,"NF","atypical","Trauben","orange","Bueroklammer","orange","Zucchini","gruen","Waescheklammer","gruen","grapes","orange",5.87128712871287,14.3740483972586,0,74.9086322627806
"IB_54","IB",1104.28669393494,1107.33951075533,"NF","",54,0.432346469293859,1105.41401937012,73.8038902390984,"IB",54,"NF","atypical","Paprika","braun","Sonnenbrille","braun","Waescheklammer","rot","Socken","gelb","pepper","brown",7.77227722772277,16.4407306334717,0,73.8038902390984
"IB_56","IB",1135.47462042961,1138.77026840204,"NF","",56,0.411102220444089,1136.61382420964,74.6388658938163,"IB",56,"NF","typical","Erdbeere","rot","Waescheklammer","rot","Bueroklammer","orange","Aubergine","gruen","strawberry","red",99.3564356435644,2.71508437591115,100,74.6388658938163
"IB_58","IB",1167.17569713785,1170.09658433656,"NF","",58,0.4125425085017,1168.19003204022,74.3403299757657,"IB",58,"NF","typical","Walnuss","braun","Bueroklammer","braun","Zucchini","gelb","Avokado","gelb","walnut","brown",97.4554455445545,11.250355329922,100,74.3403299757657
"IB_59","IB",1182.76424861749,1185.87525273446,"NF","",59,0.186057211442288,1183.06172010537,75.6670879890451,"IB",59,"NF","atypical","Kirsche","gelb","Sonnenbrille","gelb","Aubergine","gruen","Socken","rot","cherry","yellow",1.38613861386139,3.98489723086983,0,75.6670879890451
"IB_62","IB",1230.7079020985,1233.9139646746,"NF","",62,0.432886577315463,1231.89374120696,74.5664665417591,"IB",62,"NF","typical","Bohnen","gruen","Socken","gruen","Birne","orange","Sonnenbrille","braun","beans","green",96.8118811881188,7.0650022948151,100,74.5664665417591
"IB_64","IB",1262.12837774517,1265.94799946655,"NF","",64,0.395439087817564,1263.38222836425,75.7295809793668,"IB",64,"NF","typical","Mandarine","orange","Socken","orange","Waescheklammer","braun","Zucchini","gruen","mandarine","orange",98.7029702970297,4.73190142428061,100,75.7295809793668
"IB_66","IB",1293.33511588677,1296.70104950776,"NF","",66,0.245109021804361,1293.87781292588,75.51594822363,"IB",66,"NF","medium","Aprikose","rot","Socken","rot","Bueroklammer","gruen","Bueroklammer","orange","apricot","red",33.1485148514851,32.654061351879,25,75.51594822363
"IB_69","IB",1339.90083634896,1342.91678200679,"NF","",69,0.391658331666333,1340.87819821447,75.2810763680264,"IB",69,"NF","atypical","Moehre","gruen","Bueroklammer","gruen","Waescheklammer","gelb","Waescheklammer","rot","carrots","green",3.99009900990099,13.9165333682674,0,75.2810763680264
"IB_7","IB",370.919562066189,374.220683104281,"NF","",7,0.204240848169634,371.301908351657,76.3570799275795,"IB",7,"NF","typical","Zitrone","gelb","Waescheklammer","gelb","Birne","gruen","Socken","orange","lemon","yellow",99.6039603960396,2.37940836310538,100,76.3570799275795
"IB_70","IB",1356.01983712486,1359.51271141051,"NF","",70,0.395259051810362,1357.16572906894,74.3828148572221,"IB",70,"NF","medium","Kartoffeln","orange","Waescheklammer","orange","Socken","rot","Bueroklammer","gruen","potatoes","orange",38.8514851485149,33.053709667332,31,74.3828148572221
"IB_9","IB",401.952245290631,405.313858075495,"NF","",9,0.401380276055211,403.077938389624,76.6242326739648,"IB",9,"NF","medium","Banane","braun","Waescheklammer","braun","Avokado","gelb","Zucchini","gelb","banana","brown",27.6435643564356,28.3332257811975,22,76.6242326739648
"IP_1","IP",341.326778299102,346.440491320807,"NF","",1,0.176335267053411,341.760507909265,70.1536019426291,"IP",1,"NF","medium","Kartoffeln","orange","Waescheklammer","orange","Bueroklammer","gelb","Aubergine","gelb","potatoes","orange",38.8514851485149,33.053709667332,31,70.1536019426291
"IP_10","IP",533.67179339415,538.410524150802,"NF","",10,0.220084016803361,534.304066531715,72.0306506702958,"IP",10,"NF","medium","Erbsen","gelb","Sonnenbrille","gelb","Socken","rot","Bueroklammer","gruen","peas","yellow",34.5742574257426,33.0633774846592,27,72.0306506702958
"IP_11","IP",553.925779167115,558.202615090967,"NF","",11,0.398499699939988,555.344261655962,73.37444542887,"IP",11,"NF","medium","Banane","braun","Sonnenbrille","braun","Aubergine","rot","Bueroklammer","rot","banana","brown",27.6435643564356,28.3332257811975,22,73.37444542887
"IP_14","IP",614.118625672073,618.384258922742,"NF","",14,0.336567313462693,615.239858336882,71.5115695612,"IP",14,"NF","atypical","Moehre","gruen","Socken","gruen","Bueroklammer","rot","Sonnenbrille","orange","carrots","green",3.99009900990099,13.9165333682674,0,71.5115695612
"IP_15","IP",635.054579229579,639.11985697908,"NF","",15,0.233226645329066,635.656360692798,74.662200761093,"IP",15,"NF","atypical","Kirsche","gelb","Waescheklammer","gelb","Socken","braun","Zucchini","braun","cherry","yellow",1.38613861386139,3.98489723086983,0,74.662200761093
"IP_17","IP",676.320382387473,680.904860951828,"NF","",17,0.374734946989398,677.719845137864,74.878182666519,"IP",17,"NF","atypical","Trauben","orange","Bueroklammer","orange","Sonnenbrille","gruen","Sonnenbrille","rot","grapes","orange",5.87128712871287,14.3740483972586,0,74.878182666519
